timestamp,speed,angle,esc_timestamp,state
1751946130.7871566,"[0, 2, 0, 5]","[14378, 828, 19739, 25224]","[161526, 161527, 161529, 161524]","[0, 0, 0, 0]"
1751946130.8885534,"[2, -4, -2, 10]","[14389, 803, 19718, 25236]","[161586, 161587, 161589, 161584]","[0, 0, 0, 0]"
1751946131.0082374,"[83, -71, -75, 72]","[21420, 28015, 14658, 31420]","[161706, 161707, 161709, 161704]","[0, 0, 0, 0]"
1751946131.1075666,"[115, -101, -118, 108]","[26395, 22923, 9711, 3658]","[161766, 161767, 161769, 161764]","[0, 0, 0, 0]"
1751946131.2084658,"[166, -128, -139, 156]","[373, 15985, 2736, 11007]","[161826, 161827, 161829, 161824]","[0, 0, 0, 0]"
1751946131.307703,"[136, -112, -120, 120]","[7448, 8975, 28413, 18243]","[161886, 161887, 161889, 161884]","[0, 0, 0, 0]"
1751946131.40804,"[120, -126, -139, 137]","[13975, 2078, 21708, 24706]","[161946, 161947, 161949, 161944]","[0, 0, 0, 0]"
1751946131.5076382,"[117, -105, -114, 106]","[21111, 27775, 14438, 32023]","[162006, 162007, 162009, 162004]","[0, 0, 0, 0]"
1751946131.6076105,"[85, -78, -78, 56]","[24759, 23689, 10260, 3326]","[162066, 162067, 162069, 162064]","[0, 0, 0, 0]"
1751946131.7075512,"[92, -103, -102, 82]","[29581, 18976, 5322, 7877]","[162126, 162127, 162129, 162124]","[0, 0, 0, 0]"
1751946131.8081033,"[52, -66, -29, 43]","[1153, 14595, 1313, 12334]","[162186, 162187, 162189, 162184]","[0, 0, 0, 0]"
1751946131.9079456,"[55, -33, -63, 46]","[3715, 12473, 31802, 14672]","[162246, 162247, 162249, 162244]","[0, 0, 0, 0]"
1751946132.0084302,"[62, -54, -62, 66]","[7232, 9083, 28260, 17912]","[162306, 162307, 162309, 162304]","[0, 0, 0, 0]"
1751946132.107578,"[12, -42, -20, 13]","[9418, 7089, 26546, 20064]","[162366, 162367, 162369, 162364]","[0, 0, 0, 0]"
1751946132.2079155,"[13, -14, -28, 33]","[10577, 5999, 25531, 21248]","[162426, 162427, 162429, 162424]","[0, 0, 0, 0]"
1751946132.3073683,"[-27, -42, -34, -56]","[10225, 4044, 23503, 20315]","[162486, 162487, 162489, 162484]","[0, 0, 0, 0]"
1751946132.407744,"[-57, -18, -12, -54]","[7647, 2733, 22346, 17980]","[162546, 162547, 162549, 162544]","[0, 0, 0, 0]"
1751946132.5069857,"[-46, -24, -25, -43]","[4584, 1578, 21462, 15089]","[162606, 162607, 162609, 162604]","[0, 0, 0, 0]"
1751946132.6077197,"[-34, -42, -50, -29]","[2486, 32374, 19428, 13008]","[162666, 162667, 162669, 162664]","[0, 0, 0, 0]"
1751946132.7296667,"[-21, -48, -52, -23]","[1188, 29665, 16360, 11619]","[162726, 162727, 162729, 162724]","[0, 0, 0, 0]"
1751946132.8275661,"[-41, -36, -37, -45]","[32140, 27279, 13887, 9789]","[162786, 162787, 162789, 162784]","[0, 0, 0, 0]"
1751946132.9276197,"[-56, -29, -32, -50]","[29636, 25518, 12092, 7243]","[162846, 162847, 162849, 162844]","[0, 0, 0, 0]"
1751946133.026958,"[-34, -39, -26, -37]","[26958, 23725, 10398, 4738]","[162906, 162907, 162909, 162904]","[0, 0, 0, 0]"
1751946133.1293724,"[-32, -41, -45, -44]","[24937, 21508, 8089, 2710]","[162966, 162967, 162969, 162964]","[0, 0, 0, 0]"
1751946133.2280934,"[-29, -41, -52, -30]","[23101, 19117, 5434, 798]","[163026, 163027, 163029, 163024]","[0, 0, 0, 0]"
1751946133.3266962,"[-40, -35, -37, -38]","[21078, 16869, 3204, 31462]","[163086, 163087, 163089, 163084]","[0, 0, 0, 0]"
1751946133.4274883,"[-47, -35, -33, -42]","[18626, 14762, 1221, 29159]","[163146, 163147, 163149, 163144]","[0, 0, 0, 0]"
1751946133.5274565,"[-31, -41, -48, -27]","[16273, 12735, 32120, 26741]","[163206, 163207, 163209, 163204]","[0, 0, 0, 0]"
1751946133.626749,"[-37, -39, -59, -42]","[14222, 10639, 29617, 24464]","[163266, 163267, 163269, 163264]","[0, 0, 0, 0]"
1751946133.727831,"[-34, -40, -54, -42]","[12267, 8296, 27106, 22297]","[163326, 163327, 163329, 163324]","[0, 0, 0, 0]"
1751946133.8271987,"[-14, -16, -12, -14]","[10470, 6544, 25773, 20820]","[163386, 163387, 163389, 163384]","[0, 0, 0, 0]"
1751946133.9271932,"[29, -8, -8, 5]","[10353, 6303, 25600, 20543]","[163446, 163447, 163449, 163444]","[0, 0, 0, 0]"
1751946134.0275607,"[61, -47, -66, 53]","[14264, 5217, 23815, 21581]","[163506, 163507, 163509, 163504]","[0, 0, 0, 0]"
1751946134.1276636,"[82, -67, -87, 84]","[18356, 1944, 19303, 25141]","[163566, 163567, 163569, 163564]","[0, 0, 0, 0]"
1751946134.22717,"[95, -102, -119, 103]","[23310, 29761, 14130, 30040]","[163626, 163627, 163629, 163624]","[0, 0, 0, 0]"
1751946134.329733,"[123, -132, -141, 142]","[29840, 22906, 7232, 3986]","[163686, 163687, 163689, 163684]","[0, 0, 0, 0]"
1751946134.4274244,"[98, -108, -103, 124]","[3375, 16353, 920, 10727]","[163746, 163747, 163749, 163744]","[0, 0, 0, 0]"
