timestamp,acc_x,acc_y,acc_z
1751946130.7677138,-0.00479,0.00741,-1.0031
1751946130.8688693,0.02402,0.00846,-1.00054
1751946130.9869711,0.26066,0.03794,-1.01948
1751946131.0879023,0.08692,-0.05893,-0.9883
1751946131.186896,0.16336,0.02358,-1.03476
1751946131.2879035,0.12858,0.01592,-1.03482
1751946131.3879244,-0.14641,0.01946,-0.94909
1751946131.487647,0.20554,-0.02253,-1.00087
1751946131.589233,-0.24467,0.03053,-0.99302
1751946131.6876757,-0.1583,0.09063,-1.02623
1751946131.7876084,0.14559,-0.00044,-0.94888
1751946131.887299,-0.33775,-0.05111,-0.94823
1751946131.9869006,-0.00963,0.07693,-0.96659
1751946132.0890934,-0.26969,0.03818,-0.99227
1751946132.1875827,0.17326,-0.04162,-1.01374
1751946132.2888908,-0.22456,-0.06627,-1.00753
1751946132.3871334,-0.09505,-0.0143,-1.01371
1751946132.4885092,0.08893,-0.01481,-1.00968
1751946132.5873344,0.11949,0.00497,-1.00785
1751946132.7085433,-0.03827,0.02817,-0.99518
1751946132.808771,-0.08246,0.02409,-1.01007
1751946132.907442,-0.01349,0.01151,-0.99985
1751946133.0081017,0.06264,0.00646,-1.01865
1751946133.1076329,0.06166,0.01916,-1.00971
1751946133.208007,0.00617,0.0331,-0.9836
1751946133.306805,-0.03676,0.01173,-1.00527
1751946133.4077294,0.00719,-0.00276,-1.00906
1751946133.5078762,0.02188,0.00628,-1.03334
1751946133.6076992,0.02585,-0.01297,-1.0044
1751946133.7068455,-0.00146,0.03189,-0.98432
1751946133.8068311,0.00495,0.05783,-1.00156
1751946133.9108543,0.03704,-0.0371,-0.99972
1751946134.0070002,0.3335,0.05908,-1.01999
1751946134.107822,0.08528,0.00401,-0.99988
1751946134.2074914,0.19939,0.00872,-1.00549
1751946134.3068314,0.04452,0.04396,-0.97654
1751946134.4082909,-0.12256,-0.01193,-0.96292
1751946134.507696,0.18504,0.04469,-1.05502
1751946134.609771,-0.26598,-0.01396,-1.00914
1751946134.707339,-0.1002,-0.022,-0.99739
1751946134.8080547,0.08021,0.04085,-1.00145
1751946134.9079075,-0.29479,-0.02051,-1.01116
1751946135.0076454,0.14311,-0.00059,-1.02198
1751946135.1294763,-0.14148,0.01525,-1.04088
1751946135.2296553,-0.1726,0.01015,-1.00063
1751946135.3305595,0.1654,0.00471,-1.0048
1751946135.4310722,-0.27022,-0.15643,-1.00286
1751946135.5277553,-0.11978,-0.03022,-0.99432
1751946135.6295002,0.09577,0.09289,-1.00156
1751946135.7298422,0.12454,-0.0256,-0.99993
1751946135.827212,-0.00487,-0.03458,-0.99247
1751946135.928348,-0.04902,0.04182,-0.98274
1751946136.0275018,-0.01777,0.07514,-0.98351
1751946136.128435,0.06192,0.0222,-1.01289
1751946136.247613,0.06256,-0.01806,-1.01331
1751946136.3475492,0.00818,-0.00608,-1.01446
1751946136.4474912,-0.01395,0.02165,-0.99224
