timestamp,gyro_x,gyro_y,gyro_z
1751946130.7677138,0.00263,0.00446,0.00506
1751946130.8688693,0.00277,0.01577,0.00537
1751946130.9869711,0.04069,-0.05264,0.16889
1751946131.0879023,-0.00915,-0.00518,-0.06722
1751946131.186896,0.07449,-0.01909,-0.0311
1751946131.2879035,-0.02969,-0.02017,-0.02653
1751946131.3879244,-0.01277,0.01313,-0.03396
1751946131.487647,-0.00497,0.06785,0.00598
1751946131.589233,-0.0477,-0.0257,-0.05188
1751946131.6876757,0.01079,0.04029,-0.01141
1751946131.7876084,0.05238,-0.00861,4e-05
1751946131.887299,0.02125,0.01774,0.08445
1751946131.9869006,0.00956,0.00968,-0.00413
1751946132.0890934,0.02688,0.02628,0.10558
1751946132.1875827,0.01017,-0.02919,-0.10118
1751946132.2888908,-0.02671,0.01745,0.99334
1751946132.3871334,-0.02612,-0.01594,0.85619
1751946132.4885092,-0.00234,-0.03269,0.99333
1751946132.5873344,-0.0066,-0.02229,0.97261
1751946132.7085433,0.01678,-0.01636,1.04822
1751946132.808771,-0.00493,-0.00542,1.00815
1751946132.907442,-0.0034,0.00438,1.02377
1751946133.0081017,-0.01413,0.00097,0.98669
1751946133.1076329,0.02304,-0.00877,1.01984
1751946133.208007,0.00323,0.02357,1.06784
1751946133.306805,0.0175,-0.01475,1.04797
1751946133.4077294,-0.00039,-0.02392,1.07028
1751946133.5078762,0.05598,-0.04129,0.95833
1751946133.6076992,0.01716,0.00872,1.1004
1751946133.7068455,0.0363,0.00989,1.12455
1751946133.8068311,0.00452,0.00282,0.46129
1751946133.9108543,-0.02095,0.01603,-0.0919
1751946134.0070002,0.0242,-0.02387,-0.12454
1751946134.107822,0.00547,-0.00862,-0.03653
1751946134.2074914,-0.04248,-0.03534,-0.02162
1751946134.3068314,-0.05606,-0.00288,0.04206
1751946134.4082909,0.04426,0.03184,0.02379
1751946134.507696,0.01634,0.08228,0.00072
1751946134.609771,0.03266,-0.05512,-0.01909
1751946134.707339,-0.03588,-0.00195,0.07805
1751946134.8080547,0.08722,-0.05636,0.04219
1751946134.9079075,-0.00218,0.03409,0.02518
1751946135.0076454,0.0343,0.00513,-0.01573
1751946135.1294763,-0.02637,-0.00824,-0.01592
1751946135.2296553,0.00779,0.02828,-0.01207
1751946135.3305595,-0.00707,0.05317,-0.02694
1751946135.4310722,0.00243,-0.06363,0.88108
1751946135.5277553,0.01143,-0.00393,0.85459
1751946135.6295002,-0.00378,0.02689,0.89126
1751946135.7298422,-0.01183,-0.0269,1.01416
1751946135.827212,-0.00172,-0.00261,0.94822
1751946135.928348,-0.00813,0.01582,0.99369
1751946136.0275018,0.03937,0.01558,1.01924
1751946136.128435,0.00446,-0.00059,0.99665
1751946136.247613,0.00818,-0.03346,1.02638
1751946136.3475492,0.01617,0.05827,1.02571
1751946136.4474912,0.00082,0.00724,1.00421
1751946136.5472934,0.07748,0.03986,1.08621
1751946136.647627,-0.02203,-0.03818,0.9855
1751946136.7487595,-0.00037,0.00737,1.05657
1751946136.846683,0.00786,-0.01349,1.09258
1751946136.9489362,0.00046,-0.02488,0.37213
1751946137.0485387,0.00854,0.03292,-0.00049
1751946137.148309,0.02362,0.01092,0.09787
1751946137.2484555,-0.01587,0.03195,-0.0874
1751946137.348137,-0.04294,0.00707,0.00039
1751946137.448639,-0.01498,-0.02916,0.00637
1751946137.5488155,-0.03411,-0.06176,0.01162
1751946137.6487665,0.03642,0.11747,0.07925
1751946137.755515,-0.0718,-0.01528,0.03053
1751946137.8477504,-0.04061,-0.01663,0.04111
1751946137.9684374,-0.01064,0.00955,-0.03842
1751946138.0687263,0.01713,-0.02783,-0.06125
1751946138.168034,-0.00646,0.06905,-0.05554
1751946138.2684174,0.02301,0.00543,0.01278
1751946138.3687117,0.01823,0.00899,-0.05784
1751946138.4685729,0.00522,0.00121,-0.00418
1751946138.5687115,0.00496,-0.00522,-0.1278
1751946138.6680126,0.01225,0.00841,0.89345
1751946138.7685604,-0.01607,-0.00876,1.04474
1751946138.8686943,-0.00088,0.00996,0.98423
1751946138.9682815,0.00512,0.01785,1.10089
1751946139.068546,0.03254,-0.00202,1.02422
1751946139.1680932,-0.00281,-0.02362,1.02757
1751946139.2686963,0.01956,-0.0319,1.04386
1751946139.3677683,0.01814,0.00939,1.07418
1751946139.4692998,0.05223,0.00311,1.15784
1751946139.5678728,-0.02387,-0.01791,1.02474
1751946139.667727,-0.0046,-0.01174,1.10445
1751946139.8088152,0.02927,0.01486,1.09807
1751946139.9089625,-0.00691,0.02771,1.08474
1751946140.0097096,-0.0108,0.01338,1.00325
1751946140.1079617,0.00034,-0.00758,0.26353
1751946140.2087772,-0.00102,0.0146,0.0058
1751946140.308759,0.00716,-0.03726,0.00612
1751946140.4114215,0.00229,-0.01367,-0.06497
1751946140.5089335,0.02553,-0.01992,0.04888
1751946140.6081693,0.05579,0.03081,0.01645
1751946140.709941,-0.02524,0.03755,-0.00522
1751946140.8090692,-0.04101,0.00555,0.01419
1751946140.9282107,0.01497,0.02716,-0.10407
1751946141.0290933,0.00105,-0.02145,0.08176
1751946141.1312935,-0.01036,-0.12664,0.1023
1751946141.2286642,0.01498,0.03171,-0.0348
1751946141.3290763,0.01241,-0.04747,-0.06983
1751946141.4281473,-0.01787,-0.00526,0.02002
1751946141.52854,-0.00363,0.04617,-0.03169
1751946141.6274073,0.0325,0.02242,0.80166
1751946141.7281525,-0.00327,0.00679,0.86996
1751946141.84865,-0.05836,-0.00341,0.917
1751946141.9483926,0.02349,-0.0098,1.00134
1751946142.0482142,0.01722,-0.00155,1.08044
1751946142.1487331,-0.0059,0.00159,1.00575
1751946142.2485282,0.01232,0.00306,1.11491
1751946142.3491623,0.01192,0.02095,1.01141
1751946142.4693034,-0.01409,-0.00457,1.05135
1751946142.571424,0.05449,-0.02041,1.08115
1751946142.6694138,-0.01273,-0.01076,0.99589
1751946142.7704427,0.0126,-0.01042,1.04503
1751946142.8698442,0.00025,0.00083,1.0208
1751946142.9707737,-0.00525,-0.0334,1.04579
1751946143.072796,0.01797,-0.01286,1.10933
