timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1751946130.7677138,-0.00479,0.00741,-1.0031,0.00263,0.00446,0.00506
1751946130.8688693,0.02402,0.00846,-1.00054,0.00277,0.01577,0.00537
1751946130.9869711,0.26066,0.03794,-1.01948,0.04069,-0.05264,0.16889
1751946131.0879023,0.08692,-0.05893,-0.9883,-0.00915,-0.00518,-0.06722
1751946131.186896,0.16336,0.02358,-1.03476,0.07449,-0.01909,-0.0311
1751946131.2879035,0.12858,0.01592,-1.03482,-0.02969,-0.02017,-0.02653
1751946131.3879244,-0.14641,0.01946,-0.94909,-0.01277,0.01313,-0.03396
1751946131.487647,0.20554,-0.02253,-1.00087,-0.00497,0.06785,0.00598
1751946131.589233,-0.24467,0.03053,-0.99302,-0.0477,-0.0257,-0.05188
1751946131.6876755,-0.1583,0.09063,-1.02623,0.01079,0.04029,-0.01141
1751946131.7876084,0.14559,-0.00044,-0.94888,0.05238,-0.00861,4e-05
1751946131.887299,-0.33775,-0.05111,-0.94823,0.02125,0.01774,0.08445
1751946131.9869006,-0.00963,0.07693,-0.96659,0.00956,0.00968,-0.00413
1751946132.0890934,-0.26969,0.03818,-0.99227,0.02688,0.02628,0.10558
1751946132.1875827,0.17326,-0.04162,-1.01374,0.01017,-0.02919,-0.10118
1751946132.2888908,-0.22456,-0.06627,-1.00753,-0.02671,0.01745,0.99334
1751946132.3871334,-0.09505,-0.0143,-1.01371,-0.02612,-0.01594,0.85619
1751946132.4885092,0.08893,-0.01481,-1.00968,-0.00234,-0.03269,0.99333
1751946132.5873344,0.11949,0.00497,-1.00785,-0.0066,-0.02229,0.97261
1751946132.7085433,-0.03827,0.02817,-0.99518,0.01678,-0.01636,1.04822
1751946132.8087707,-0.08246,0.02409,-1.01007,-0.00493,-0.00542,1.00815
1751946132.907442,-0.01349,0.01151,-0.99985,-0.0034,0.00438,1.02377
1751946133.0081015,0.06264,0.00646,-1.01865,-0.01413,0.00097,0.98669
1751946133.1076329,0.06166,0.01916,-1.00971,0.02304,-0.00877,1.01984
1751946133.2080073,0.00617,0.0331,-0.9836,0.00323,0.02357,1.06784
1751946133.3068047,-0.03676,0.01173,-1.00527,0.0175,-0.01475,1.04797
1751946133.4077294,0.00719,-0.00276,-1.00906,-0.00039,-0.02392,1.07028
1751946133.5078762,0.02188,0.00628,-1.03334,0.05598,-0.04129,0.95833
1751946133.6076992,0.02585,-0.01297,-1.0044,0.01716,0.00872,1.1004
1751946133.7068455,-0.00146,0.03189,-0.98432,0.0363,0.00989,1.12455
1751946133.8068311,0.00495,0.05783,-1.00156,0.00452,0.00282,0.46129
1751946133.9108543,0.03704,-0.0371,-0.99972,-0.02095,0.01603,-0.0919
1751946134.0070002,0.3335,0.05908,-1.01999,0.0242,-0.02387,-0.12454
1751946134.107822,0.08528,0.00401,-0.99988,0.00547,-0.00862,-0.03653
1751946134.2074914,0.19939,0.00872,-1.00549,-0.04248,-0.03534,-0.02162
1751946134.3068314,0.04452,0.04396,-0.97654,-0.05606,-0.00288,0.04206
1751946134.4082909,-0.12256,-0.01193,-0.96292,0.04426,0.03184,0.02379
1751946134.507696,0.18504,0.04469,-1.05502,0.01634,0.08228,0.00072
1751946134.609771,-0.26598,-0.01396,-1.00914,0.03266,-0.05512,-0.01909
1751946134.707339,-0.1002,-0.022,-0.99739,-0.03588,-0.00195,0.07805
1751946134.8080547,0.08021,0.04085,-1.00145,0.08722,-0.05636,0.04219
1751946134.9079075,-0.29479,-0.02051,-1.01116,-0.00218,0.03409,0.02518
1751946135.0076454,0.14311,-0.00059,-1.02198,0.0343,0.00513,-0.01573
1751946135.1294763,-0.14148,0.01525,-1.04088,-0.02637,-0.00824,-0.01592
1751946135.2296553,-0.1726,0.01015,-1.00063,0.00779,0.02828,-0.01207
1751946135.3305595,0.1654,0.00471,-1.0048,-0.00707,0.05317,-0.02694
1751946135.4310722,-0.27022,-0.15643,-1.00286,0.00243,-0.06363,0.88108
1751946135.5277553,-0.11978,-0.03022,-0.99432,0.01143,-0.00393,0.85459
1751946135.6295002,0.09577,0.09289,-1.00156,-0.00378,0.02689,0.89126
1751946135.7298422,0.12454,-0.0256,-0.99993,-0.01183,-0.0269,1.01416
1751946135.8272119,-0.00487,-0.03458,-0.99247,-0.00172,-0.00261,0.94822
1751946135.928348,-0.04902,0.04182,-0.98274,-0.00813,0.01582,0.99369
1751946136.0275018,-0.01777,0.07514,-0.98351,0.03937,0.01558,1.01924
1751946136.1284347,0.06192,0.0222,-1.01289,0.00446,-0.00059,0.99665
1751946136.247613,0.06256,-0.01806,-1.01331,0.00818,-0.03346,1.02638
1751946136.3475492,0.00818,-0.00608,-1.01446,0.01617,0.05827,1.02571
1751946136.4474912,-0.01395,0.02165,-0.99224,0.00082,0.00724,1.00421
1751946136.5472934,0.00482,0.0255,-0.96748,0.07748,0.03986,1.08621
1751946136.647627,0.04296,0.07156,-1.02289,-0.02203,-0.03818,0.9855
1751946136.7487595,0.02404,-0.04544,-0.99888,-0.00037,0.00737,1.05657
1751946136.846683,-0.02511,-0.07429,-0.9973,0.00786,-0.01349,1.09258
1751946136.9489362,0.06087,0.16249,-0.99997,0.00046,-0.02488,0.37213
1751946137.0485387,-0.05214,-0.00245,-0.99836,0.00854,0.03292,-0.00049
1751946137.148309,0.26112,0.0129,-0.98499,0.02362,0.01092,0.09787
1751946137.2484555,0.1616,0.00433,-0.97562,-0.01587,0.03195,-0.0874
1751946137.348137,0.10704,-0.01336,-1.01348,-0.04294,0.00707,0.00039
1751946137.4486387,0.10865,0.00985,-0.99744,-0.01498,-0.02916,0.00637
1751946137.5488157,-0.11206,-0.00728,-0.99446,-0.03411,-0.06176,0.01162
1751946137.6487663,0.12318,-0.02938,-0.99601,0.03642,0.11747,0.07925
1751946137.7555153,-0.0778,-0.01214,-1.06308,-0.0718,-0.01528,0.03053
1751946137.8477504,-0.28704,-0.00342,-1.00379,-0.04061,-0.01663,0.04111
1751946137.9684374,0.19427,0.05564,-1.01321,-0.01064,0.00955,-0.03842
1751946138.0687265,-0.23338,0.04116,-0.99096,0.01713,-0.02783,-0.06125
1751946138.168034,-0.04558,0.04128,-0.9713,-0.00646,0.06905,-0.05554
1751946138.2684174,0.13936,0.00305,-1.00476,0.02301,0.00543,0.01278
1751946138.3687115,-0.27575,0.04778,-1.00501,0.01823,0.00899,-0.05784
1751946138.4685729,0.07513,-0.00033,-1.00696,0.00522,0.00121,-0.00418
1751946138.5687115,-0.02132,-0.01993,-1.00136,0.00496,-0.00522,-0.1278
1751946138.6680126,-0.2484,-0.02266,-1.00239,0.01225,0.00841,0.89345
1751946138.7685604,-0.072,-0.01187,-1.02519,-0.01607,-0.00876,1.04474
1751946138.8686945,0.14524,-0.0023,-1.01303,-0.00088,0.00996,0.98423
1751946138.9682817,0.08661,-0.05293,-1.00092,0.00512,0.01785,1.10089
1751946139.068546,-0.06521,-0.01124,-0.99966,0.03254,-0.00202,1.02422
1751946139.1680932,-0.08025,0.02615,-1.00655,-0.00281,-0.02362,1.02757
1751946139.2686963,-0.02569,-0.00198,-1.03119,0.01956,-0.0319,1.04386
1751946139.3677685,0.0909,-0.02184,-1.00186,0.01814,0.00939,1.07418
1751946139.4692998,0.01695,-0.04816,-0.97203,0.05223,0.00311,1.15784
1751946139.5678728,-0.02775,0.00621,-1.01799,-0.02387,-0.01791,1.02474
1751946139.667727,-0.03563,-0.00646,-1.00022,-0.0046,-0.01174,1.10445
1751946139.8088152,0.02702,-0.03994,-0.99293,0.02927,0.01486,1.09807
1751946139.9089625,0.00116,-0.03138,-0.99147,-0.00691,0.02771,1.08474
1751946140.0097096,-0.00402,0.03819,-1.0086,-0.0108,0.01338,1.00325
1751946140.1079617,-0.0047,0.05143,-1.00161,0.00034,-0.00758,0.26353
1751946140.2087772,0.19616,0.00122,-1.00277,-0.00102,0.0146,0.0058
1751946140.308759,0.20746,0.01479,-1.00924,0.00716,-0.03726,0.00612
1751946140.4114215,0.10129,-0.0026,-1.00483,0.00229,-0.01367,-0.06497
1751946140.5089335,0.18936,-0.05144,-0.99461,0.02553,-0.01992,0.04888
1751946140.6081693,-0.12297,0.0058,-1.02303,0.05579,0.03081,0.01645
1751946140.709941,0.0545,0.00199,-0.96694,-0.02524,0.03755,-0.00522
1751946140.8090692,0.07782,0.00668,-1.01081,-0.04101,0.00555,0.01419
1751946140.9282107,-0.31638,0.00834,-1.01431,0.01497,0.02716,-0.10407
1751946141.0290933,0.09067,-0.04183,-1.03623,0.00105,-0.02145,0.08176
1751946141.1312935,-0.16522,0.00453,-0.98137,-0.01036,-0.12664,0.1023
1751946141.2286642,-0.13295,0.00813,-0.97876,0.01498,0.03171,-0.0348
1751946141.3290765,0.12697,0.03107,-1.02572,0.01241,-0.04747,-0.06983
1751946141.4281473,-0.2797,0.00884,-1.02012,-0.01787,-0.00526,0.02002
1751946141.52854,0.04105,0.01394,-1.00599,-0.00363,0.04617,-0.03169
1751946141.6274073,-0.24124,-0.28231,-0.98687,0.0325,0.02242,0.80166
1751946141.7281525,-0.13645,-0.03042,-1.00904,-0.00327,0.00679,0.86996
1751946141.84865,0.10995,0.06188,-1.00907,-0.05836,-0.00341,0.917
1751946141.9483926,0.10412,-0.01012,-1.00202,0.02349,-0.0098,1.00134
1751946142.0482142,-0.00323,-0.01332,-1.02739,0.01722,-0.00155,1.08044
1751946142.1487331,-0.06866,0.02158,-1.00811,-0.0059,0.00159,1.00575
1751946142.2485282,-0.04608,-0.02025,-0.99473,0.01232,0.00306,1.11491
1751946142.3491623,0.05732,0.0169,-0.99836,0.01192,0.02095,1.01141
1751946142.4693034,0.05725,0.01584,-1.00922,-0.01409,-0.00457,1.05135
1751946142.571424,-0.02148,-0.0528,-0.97033,0.05449,-0.02041,1.08115
1751946142.6694138,0.00268,0.08092,-1.00841,-0.01273,-0.01076,0.99589
1751946142.7704427,0.00839,0.05153,-1.01039,0.0126,-0.01042,1.04503
1751946142.8698442,0.0331,0.01648,-1.00238,0.00025,0.00083,1.0208
1751946142.9707735,0.01017,-0.03089,-1.01251,-0.00525,-0.0334,1.04579
1751946143.072796,-0.01666,-0.03683,-0.99641,0.01797,-0.01286,1.10933
