time,pitch,yaw
0.0,0.0,0.0
0.059,0.0,0.0
0.123,-1.1,-3.5
0.174,-1.1,-3.5
0.229,-1.2,-9.2
0.289,-1.2,-9.2
0.34,-1.1,-14.0
0.404,-1.0,-17.6
0.459,-1.0,-17.6
0.521,-0.9,-20.4
0.585,-0.9,-20.4
0.64,-0.9,-22.9
0.691,-0.9,-22.9
0.755,-0.8,-25.0
0.811,-0.8,-25.0
0.867,-0.7,-26.7
0.931,-0.7,-28.1
0.99,-0.7,-28.1
1.046,-0.6,-29.0
1.107,-0.6,-29.0
1.163,-0.6,-29.8
1.219,-0.6,-29.8
1.271,-0.5,-30.5
1.328,-0.5,-31.0
1.391,-0.5,-31.0
1.447,-0.4,-31.6
1.51,-0.4,-31.6
1.564,-0.3,-32.3
1.624,-0.3,-33.0
1.679,-0.3,-33.0
1.74,-0.2,-33.5
1.796,-0.2,-33.5
1.848,-0.2,-27.5
1.912,-0.2,-27.5
1.973,-0.1,-21.4
2.038,-0.1,-21.4
2.094,0.0,-16.2
2.157,0.0,-12.1
2.212,0.0,-12.1
2.264,0.0,-8.7
2.328,0.0,-8.7
2.384,0.0,-6.0
2.44,0.0,-6.0
2.496,0.0,-3.8
2.559,0.1,-2.1
2.614,0.1,-2.1
2.677,0.1,-0.8
2.73,0.1,-0.8
2.793,0.1,0.0
2.846,0.1,0.8
2.906,0.1,0.8
2.961,0.1,1.7
3.023,0.1,1.7
3.087,0.1,2.7
3.139,0.1,2.7
3.203,0.1,3.5
3.259,0.1,4.3
3.323,0.1,4.3
3.378,0.1,8.8
3.439,0.2,13.4
3.504,0.2,13.4
3.56,0.2,17.2
3.624,0.2,17.2
3.68,0.2,20.3
3.745,0.2,20.3
3.811,0.3,23.1
3.872,0.3,24.8
3.928,0.3,24.8
3.98,0.3,26.2
4.043,0.3,26.2
4.095,0.2,27.3
4.158,0.2,27.3
4.212,0.2,28.2
4.275,0.2,28.2
4.328,0.2,29.0
4.388,0.2,29.8
4.444,0.2,29.8
4.504,0.1,30.4
4.561,0.1,30.4
4.613,0.1,31.0
4.675,0.1,31.0
4.729,0.1,31.7
4.792,0.1,32.5
4.845,0.1,32.5
4.909,0.1,33.2
4.961,0.1,33.2
5.024,0.1,33.9
5.078,0.1,33.9
5.137,0.0,23.3
5.193,-0.2,11.1
5.253,-0.2,11.1
5.309,-0.3,1.4
5.373,-0.3,1.4
5.435,-0.3,-6.4
5.488,-0.4,-12.9
5.551,-0.4,-12.9
5.607,-0.4,-17.8
5.67,-0.4,-17.8
5.727,-0.4,-21.5
5.793,-0.4,-24.6
5.853,-0.4,-24.6
5.909,-0.4,-27.1
5.972,-0.4,-27.1
6.026,-0.3,-28.9
6.086,-0.3,-28.9
6.142,-0.3,-30.2
6.202,-0.3,-31.5
6.258,-0.3,-31.5
6.312,-0.3,-32.7
6.374,-0.3,-32.7
6.435,-0.3,-33.8
6.499,-0.3,-33.8
6.551,-0.2,-35.0
6.613,-0.2,-36.2
